,article_title,revision_id,article_quality,country,population,region,region_population
129,Refo Çapari,1061419179.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
130,Neritan Ceka,1095178618.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
131,Hysni Curri,1114418989.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
132,Ibrahim Dalliu,1087026828.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
133,Niazi Demi,1104589367.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
134,Abdurrahman Dibra,1101365003.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
135,Fuad Dibra,1079550815.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
136,Isuf Dibra,1108975040.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
137,Bujar Dida,1112281152.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
138,Ahmed Dino,1114424802.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
139,Rasih Dino,1067061654.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
140,Ferhat Bey Draga,1101927317.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
141,Nexhip Draga,1092914547.0,GA,Albania,2.8,SOUTHERN EUROPE,151.0
142,Aqif Pasha Elbasani,1114425909.0,B,Albania,2.8,SOUTHERN EUROPE,151.0
143,Abas Ermenji,1073827690.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
144,Bajram Fevziu,1089008480.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
145,Qamil Musa Haxhi Feza,1015553118.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
146,Themistokli Gërmenji,1099714241.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
147,Sabri Godo,1105835401.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
148,Mihal Grameno,1095879069.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
149,Aćif Hadžiahmetović,1104696112.0,GA,Albania,2.8,SOUTHERN EUROPE,151.0
150,Albulena Haxhiu,1095286065.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
151,High Council of Regency,1107096289.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
152,Spiridon Kacarosi,993288548.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
153,Kurt Agë Kadiu,998414015.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
154,Mehmed Kalakula,979382854.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
155,Alfred Karamuço,1098236555.0,Stub,Albania,2.8,SOUTHERN EUROPE,151.0
156,Ibrahim Karbunara,1053849574.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
157,Ali Këlcyra,1069956844.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
158,Belind Këlliçi,1114971095.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
159,Bajram Kelmendi,1098232331.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
160,Kristo Kirka,1071577370.0,C,Albania,2.8,SOUTHERN EUROPE,151.0
161,Elez Koçi,919356105.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
162,Ali Riza Kolonja,1095185542.0,Start,Albania,2.8,SOUTHERN EUROPE,151.0
